recipe_title,servings,meal,calories,carbs,protein,fat,ingredients,instructions
Bolognese with Shirataki Noodles,2,dinner,442,26,53,11,200 g shirataki; 180 g ground beef 95/5; 1 medium or 100 g carrot; 100 g celery; 1 medium or 50 g onion; 2 garlic cloves; 9 g dry gelatine; 40 g tomato puree; 2 g oil; 250 g water; 10 g vegetable broth powder; to taste salt; to taste black pepper,"Remove shirataki from the package and rinse it under cold water for 30 seconds until the entire liquid is washed away. Let the shirataki sit in the sink until the end of the recipe. | Chop up carrots, celery, and onions into roughly equal size pieces. | Add oil to a pan (24cm/9.5inch) on medium-high heat. Add ground beef and fry on one side for 1 minute. | Add in the vegetables except for the garlic and mix everything and keep frying for another 3-4 minutes until the vegetables have some color. | Peel and grate in the garlic and fry for 20 seconds. Add in tomato puree and mix everything until beef and vegetables turn red. | Mix water with broth powder and gelatine in a separate glass. | Add broth into the pan, stir until combined and let it simmer for around 15-20 min on medium-low heat without a lid. | Dry fry shirataki in a nonstick pan until the water has evaporated. Add in bolognese to the shirataki and mix. Bolognese will be enough for two servings."
Huevos Rancheros,1,breakfast,355,30,32,12,1 medium (20cm or 8inch) wheat tortilla; 25 g onion; 200 g tomato; 1 egg; 100 g egg whites; 50 g jalapeno; 1 clove of garlic; 10 g soy sauce; 50 g deli meat; to taste black pepper,"Chop up the onion and jalapeno. Peel and grate the garlic. Chop the deli meat into small cubes. | Halve the tomato and grate it on a box grater into a puree. Throw away the skin. | Heat up a pan over medium heat and add oil. Fry the onion and jalapenos for 3-4 minutes, stirring occasionally. Add a pinch of salt. | Add more oil and fry the garlic for 20 seconds. Add the tomatoes, stir, add black pepper and soy sauce, and simmer for 2-3 minutes until thick. | Heat the tortilla in a dry pan for 30-45 seconds on each side and place on a plate. | Add oil to the pan on medium-high heat and fry the deli meat for 1-2 minutes until brown. Add egg whites and stir for 30 seconds. Place on top of the tortilla. | Add more oil and crack the egg into the pan. Cook for 1 minute with a closed lid. Season with salt and black pepper. | Place the cooked egg on top of the egg whites, then add the tomato sauce and chopped cilantro on top."
Chicken & Potato Stir Fry,1,lunch,634,72,55,13,180 g chicken breast; 1 egg; 50 g medium onion; 250 g mealy potatoes; 250 g frozen wok vegetables; 4 g oil; to taste salt; to taste black pepper,"Dice onion. Cut chicken into strips. | Clean the potatoes, cut into french fries, then into bite-size cubes (2x2 cm or 1x1 inch). | Microwave the potatoes in a container for 5 minutes if using a microwave. | Place a 24cm/9.5inch pan on medium-high heat, add oil, and fry the chicken on one side for 60 seconds. Season with salt and black pepper. | Flip the chicken and fry the other side for 60 seconds, just until color develops. | Remove the chicken, add 2 g oil to the pan, and fry the potatoes for 5-6 minutes until golden if microwaved, or 12-15 minutes with raw potatoes, stirring occasionally and covering with a lid. | When potatoes are almost done, add the onion and fry for 2-3 minutes. | Add frozen vegetables with a splash of water, cover, and cook on high for 2 minutes until thawed. Season with salt and black pepper. | Remove the lid, continue frying until water evaporates, then add the chicken back to the pan and cook for 30 seconds while mixing. | Add the egg, mix, and cook for another 30 seconds until the egg is cooked. Serve."
Cheesy Filled Taco,1,lunch,471,32,46,22,1 (20cm or 8inch) tortilla; 150 g taco meat; 30 g shredded mozzarella; 2 g oil,"Make the taco meat if not already meal prep. If you have meal prepped it already, microwave taco meat for 2-3 minutes. | Add oil to a pan (24cm/9.5inch) on medium heat, add the tortilla and let one side brown for 1-2 minutes. | Flip the tortilla and add the shredded mozzarella cheese and immediately the microwaved taco meat. | Wait until the other side of the tortilla is brown as well and form a taco. Done!"
Beef Curry,1,dinner,572,60,54,15,180 g ground beef 95/5; 50 g raw rice; 250 g mushrooms; 50 g medium onion; 2 cloves of garlic; 200 g water; 5 g vegetable broth; 6 g curry powder; 4 g oil; to taste salt; to taste black pepper; 9 g dry gelatine (optional),"Dice onion, peel and grate garlic, and cut mushrooms into bite-size pieces. Mix water with broth powder and optional gelatine in a glass. | Add mushrooms with 50g of water into a pan on medium-high heat. Let it saute until mushrooms collapse, 3-4 minutes. | Add 2g of oil and keep frying until mushrooms get color, around 4-5 minutes. | Make space in the pan and add 2g of oil and add in the onions. Keep frying for another 3-4 minutes. | Add in beef and keep frying for another 1-2 minutes until the beef gets color. | Add garlic and fry for 20 seconds. | Add rice, curry powder, salt, pepper, and broth. Combine everything and let it simmer on low heat until the rice is cooked through, about 12-15 minutes."
Quesadillas with Chicken,1,lunch,365,32,32,14,1 wheat tortilla; 100 g chicken breast; 1 medium onion; 50 g red bell pepper; 25 g shredded mozzarella; 20 g peanut butter sauce; 2 g oil; to taste salt; to taste black pepper; 1 g turmeric (optional); to taste chili powder (optional),"Chop up all vegetables into small pieces. | Cut chicken into bite-size pieces. | Add oil into a pan (24cm/9.5inch) on medium-high heat and add in the onion and the pepper. Fry them for 3-4 minutes. | Add in the chicken and an optional 1g of turmeric and chili powder, season with salt and pepper. Keep frying for a further 2 minutes until the chicken is cooked through. | Add Mozzarella to the pan and combine everything until the cheese is melted. | Transfer the meat to the tortilla you prepared. Take the tortilla and put it back into the pan, bottom side down. | Add the sauce on top of the meat. | Flip one side of the tortilla on top of the other to form a quesadilla, and press it down gently with your spatula. Salt the outside of the tortilla and fry both sides for about 30 seconds. Done!"
Stuffed Bell Peppers,1,dinner,600,38,59,17,2 medium to large bell peppers; 200 g ground beef 95/5; 50 g egg whites; 50 g buttermilk; 1 medium or 50 g onion; 2 cloves garlic; 1 slice sandwich bread; 30 g gouda fat reduced; 5 g dry gelatine; 2 g parpika; 2 g cayenne pepper; to taste salt; to taste black pepper,"Dice the onion, peel, and grate the garlic. Cut peppers in halves and remove the inner core, so they look like a halved boat. Add buttermilk with gelatine into a glass and mix. | Cut the slice of bread into small cubes. | Preheat oven to 180°C or 350°F. | Place a bowl on a scale. | Add in beef, onions, garlic, bread, buttermilk, egg white, gouda cheese, and seasoning. | Mix everything with your hand until you have a giant meatball. | Stuff all four pepper boats with meat and add them to a baking dish. | Bake in the oven for 25 - 35 minutes."
Korean Shakshuka,1,breakfast,337,25,22,17,3 eggs; 50 g medium onion; 1 clove of garlic; 15 g tomato puree; 15 g gochujang; 25 g soy sauce; 50 g water; 5 g honey; 2 g oil,"Dice the onion, and peel and grate the garlic. | Weigh out the ingredients using a scale and add the tomato puree, soy sauce, gochujang, water and honey to a bowl. Mix until smooth. | Add the oil to a pan on medium heat. Start by frying the onions for roughly 3 minutes until they caramelize. | Add in the garlic and keep frying for a further 20 seconds. | Add the sauce to the pan and mix everything well. Allow to simmer for 30 seconds. Then crack in 3 eggs in 3 different spots. | Close the lid and allow it cook for 3-5 minutes or until the eggs are done but not overcooked. You are ready to serve!"
Egg Purgatorio,1,breakfast,355,10,27,24,3 eggs; 50 g medium onion; 150 g tomato sauce; 15 g parmesan cheese; 1 clove of garlic; bunch fresh basil; 4 g oil; to taste salt; to taste black pepper,"Start by chopping the onion and basil into bite-sized pieces. Then, peel and grate the garlic, and grate the Parmesan cheese as well. | Add oil to a pan and heat it over medium heat. | Add the onion to the pan and let it fry for about 3 minutes until it starts to caramelize. | Add the garlic and fry for 30 seconds, then add the tomato sauce with a pinch of salt and black pepper, and mix. | As soon as the sauce begins to simmer, crack in the 3 eggs, cover with a lid, and let the eggs cook for 2-3 minutes. | Remove the pan from the heat, sprinkle with Parmesan cheese, and then top with basil. Done!"
A classic Italian tuna recipe,1,dinner,275,16,38,6,200 g shirataki noodles; 150 g canned tuna (no oil!); 250 g tomatoes; 3 cloves garlic; 100 g water; 5 g oil; to taste salt; to taste black pepper,"Remove shirataki from the package and rinse it under cold water for 30 seconds until the entire liquid is washed away. Let the shirataki sit in the sink until the end of the recipe. | Peel and cut garlic into small pieces. | Add oil to a pan (24cm/9.5inch) on medium heat. Add garlic and let them fry for 20 seconds. Add tomatoes and water and close the lid. | Let the tomatoes cook for around 6 minutes until they start breaking and release their juices. | Add canned tuna and cook another 30 seconds. Add salt and pepper and stir everything. | Remove everything from the pan to a plate. | Add in the shirataki noodles, and dry fry them until liquid has evaporated, around 2 minutes. | Add the tomatoes tuna mix back to the pan and cook for 30 seconds until hot. Done!"
Spicy Black Bean Sauce with Shirataki Noodles,1,dinner,306,12,42,10,200 g shirataki; 180 g chicken breast; 50 g medium onion; 2 g oil; 25 g chinese black bean paste; 10 g gochujang; 10 g rice vinegar; 2 g sesame oil; 15 g water,"Remove shirataki from the package and rinse it under cold water for 30 seconds until the entire liquid is washed away. Let the shirataki sit in the sink until the end of the recipe. | Cut chicken breast into strips. | Add all sauce ingredients in a glass and stir until smooth, 30 seconds. | Add oil into a pan (24cm/9.5inch) on medium-high heat. Add chicken, season with pepper and fry on 1 side for 1 minute. Add in onions and stir everything. Keep frying for another 1-1:30 minutes. Remove from the pan into a separate plate. | Add in the shirataki noodles, and dry fry them until the liquid has evaporated around 2 minutes. | Add the chicken back to the pan with the onions and mix. | Add in sauce and mix everything for 30 seconds. Add salt and pepper to taste. Done!"
Korean Spicy Chicken & Sweet Potato,5,dinner,558,80,48,8,1250 g sweet potatoes; 1000 g chicken breast; 150 g canned corn; 100 g large onion; 200 g carrots; 300 g red bell peppers; 40 g gochujang; 100 g low sodium soy sauce; 50 g water; 2 g cornstarch; 15 g oil; to taste black pepper,"Preheat the oven to 200°C or 400°F. | Clean potatoes with a brush under water. Don’t peel them. Cut into halves. (Approximately 3 medium-sized sweet potatoes for 1250g.) | Chop onions, peppers, and carrots into bite-size pieces. Add vegetables into a baking dish, add 10g of olive oil, a pinch of salt, and black pepper. Mix with a spatula. | Add sweet potatoes and the baking dish with vegetables on a baking rack and bake for 30 minutes. | Mix gochujang, water, soy sauce, and cornstarch until smooth in a container. | Cut chicken breast into bite-size cubes, season with a strong pinch of salt. | Heat a large pan to medium-high, add 2g of oil. Fry chicken in batches for 1-2 minutes per side until browned and cooked through. Remove and set aside. | After 30 minutes of baking, remove vegetables and add them to the pan with chicken. Fry until water evaporates and vegetables are caramelized. | Add chicken back to the pan, pour in the sauce, and cook for 30 seconds until sticky and thick. | Distribute sweet potatoes into 5 meal prep containers, then add vegetables and chicken. Evenly distribute canned corn into each container."
Chicken Roll-ups,16,lunch,250,18,25,8,16 wheat tortillas; 5 or 1000 g chicken breasts; 160 g shredded cheese; 200 g 1% fat cottage cheese; 25 g sriracha; 25 g honey; 10 g oil; 6 g garlic powder; 6 g onion powder; 6 g paprika; to taste salt; to taste black pepper,"Cut the chicken breast into thin slices and then again into bite-sized pieces. Put the chicken to a bowl and add oil and all seasonings and mix. | Preheat a pan (28cm or 11 inch) to medium-high heat and add in the chicken in small batches. Spread it out with a spatula and wait for 2 minutes then flip and fry again for 2 minutes. Repeat with entire chicken. | Add to a blender cottage cheese, sriracha, and honey and blend on high for 60 seconds. | Add sauce to the bowl with chicken and mix everything. | Lay out 5-6 tortillas at a time and fill with 10g cheese each and 1 serving (60g meat) and then roll into a chicken roll-up. Repeat with all tortillas and the meat. | Place roll-ups on a baking sheet and bake tortillas for 6-7 minutes at 200°C or 400°F until the top is crispy. | Transfer 5-6 roll-ups to a zip lock bag and store in the freezer for up to 3 months."
Freezer Quesadillas,12,lunch,401,30,31,17,12 (20 cm or 8 inch) wheat tortillas; 4 or 720 g chicken breasts; 240 g shredded cheese; 2 or 300 g red bell peppers; 3 or 150 g medium onions; 34 g oil; 6 g garlic powder; 6 g cayenne pepper; 6 g onion powder; 3 g cumin; 6 g paprika; to taste salt; to taste black pepper; not specified avocados; not specified Greek yogurt; not specified chopped mint; not specified juice of 2 limes,"1. Slice the chicken breast into strips, then into bite-sized pieces. Place in a bowl, add 20g of olive oil and all seasonings, and mix well. | 2. Chop the onions and bell peppers and set aside. | 3. Prepare the avocado dip by combining avocados, Greek yogurt, chopped mint, lime juice, salt, and garlic powder. Mash until smooth. | 4. Stir-fry the chicken in a pan over medium-high heat for 1 minute on each side, then transfer to a bowl. Cook in two batches. | 5. Stir-fry the onions and bell peppers, then add to the bowl with chicken and mix. | 6. Lay out tortillas, sprinkle each with 20g shredded mozzarella, add a spoonful of avocado dip and a ladleful of chicken mixture, then fold to form quesadillas. Repeat until 12 are made. | 7. Cook each quesadilla in a pan with a little oil over medium heat for about 1 minute per side until golden brown. | 8. Wrap each quesadilla in parchment paper and store in a zip-lock bag. Freeze for up to 3 months or refrigerate for up to 5 days."
Massive Chicken and Rice Meal Prep,3,dinner,652,79,42,20,"180 g raw rice; 600 g skinless, boneless chicken thighs; 200 g tomato salsa; 500 g chicken stock; 150 g large onion; 300 g carrots; 450 g red bell peppers; 4 g smoked paprika; 3 g garlic powder; 3 g onion powder; 3 g chili powder; 15 g oil; to taste salt; to taste black pepper","Place the chicken thighs in a bowl and add salt, pepper, garlic powder, onion powder, smoked paprika, and chili powder. Mix until the thighs are coated with the seasoning. | Dice the onion, carrots, and red bell peppers into bite-size pieces. | Add 5g of oil to a pan over medium-high heat and add the chicken thighs. Fry them for 2 minutes on each side, just to get some color, and then remove them from the pan. | Add 10g of oil to the pan and then add the vegetables. Fry them for 7-10 minutes over medium heat, stirring occasionally, until they are soft. | Add the rice, tomato salsa, and 300g of chicken stock (save some stock for later). | Mix everything together, then add the chicken back to the pan. Close the lid and let it simmer for 30 minutes over medium-low heat. | Check on the rice every 10 minutes. If the bottom of the pan is too dry, add more stock and continue simmering. | After 30 minutes, check the rice and adjust the salt if needed. Remove the chicken from the pan, cut it into smaller bite-size pieces, and add them back to the pan. | Prepare 3 meal prep containers and divide the pan contents equally among them. Done!"
Mushroom Zucchini Stir-fry with Shirataki Noodles,1,dinner,343,18,48,10,200 g shirataki noodles; 180 g chicken breast; 150 g mushrooms; 100 g zucchini; 50 g onion; 50 g tomatoes; 25 g soy sauce; 4 g oil,"Remove shirataki from the package and rinse it under cold water for 30 seconds until the entire liquid is washed away. Let the shirataki sit in the sink until the end of the recipe. | Chop up the mushrooms, zucchini, onions, and tomatoes into roughly equal bite-size pieces. | Cut the chicken breast into strips. | Add 2g oil into a pan (24cm/9.5inch) on medium-high heat. Add chicken, and season with salt and pepper. Fry on each side for 1 minute or until both sides have color. Remove from the pan and place in a separate plate. | Add in mushrooms with 50 g of water and wait until mushrooms have collapsed, around 2 minutes. Add in 2g of olive oil and fry mushrooms for 3-4 minutes. | Add in zucchini and onion and keep frying for another 3 minutes. | Add in tomatoes and keep frying for an additional 2-3 minutes. | Remove all vegetables and transfer to a plate with chicken. | Add in the shirataki noodles, and dry fry them until the liquid has evaporated, around 2 minutes. | Add the chicken back along with the vegetables and mix. | Add in soy sauce and mix everything for 30 seconds. Add salt and pepper to taste. Done!"
Coconut and Peanut Butter Shirataki Stir-Fry,1,dinner,386,15,40,20,200 g shirataki noodles; 180 g ground beef 95/5; 150 g frozen Wok vegetables; 2 g oil; 10 g gochujang; 13 g powdered peanuts or peanut butter; 25 g coconut milk; 100 g water; 1 clove garlic; 1 piece fresh ginger (thumb size),"Remove shirataki from the package and rinse under cold water for 30 seconds. | Peel and grate the ginger. Mix all sauce ingredients in a small glass until smooth. | Heat oil in a 24cm pan on medium-high heat. Fry ground beef for 1 minute on one side. | Add salt, pepper, and optional msg. Break the beef with a spatula and fry for another minute. Remove to a plate. | Add frozen vegetables to the pan, splash with water, and cover for 30 seconds. Remove lid, fry until water evaporates, then add a touch of oil and mix. | After 3 minutes, transfer vegetables to a plate with the beef. | Add shirataki noodles to the pan and dry fry for about 2 minutes until liquid evaporates. | Return beef and vegetables to the pan, add sauce, and stir-fry for 1 minute."
Shakshuka,1,breakfast,492,33,26,24,150 g red bell pepper; 50 g medium onion; 400 g crushed tomatoes; 3 eggs; 2 cloves of garlic; 3 g smoked paprika; 1 g chili powder; 10 g oil; to taste Salt; to taste black pepper,"Start by chopping up the red pepper and onion into bite-size pieces. Then peel and grate the garlic. | Add oil to a pan and heat on a medium heat. | Add the pepper and onion to the pan and let them fry gently for around 6-7 minutes until they start to caramelize. | Add garlic and fry for 30 seconds and then add all the spices and mix until combined. | Next comes the crushed tomatoes with a splash of water and stir everything. | Close the lid and let everything simmer for around 10 minutes. | Remove the lid and let the tomato sauce reduce for another 5 minutes. | Dig 3 holes with a spoon and crack 3 eggs into the holes. Close the lid and cook the eggs for 2-3 minutes, so the yolk is still runny."
Filled Savory French Toast,1,breakfast,347,28,27,15,2 slices sandwich bread; 60 g egg whites; 1 egg; 30 g deli meat; 20 g shredded mozzarella; 2 g oregano; 1 g chili powder; 2 g oil; to taste Salt and black pepper,"Add the egg and egg white to a bowl with seasonings and mix with a fork until everything is combined and smooth. | Add the bread and allow it to soak up the eggs for 20 seconds before flipping. Flip 3-4 times in total. | Add oil to a pan on medium heat and add in the bread slices. Pour leftover eggs from soaking mixture on top if available. Fry both sides slowly for 4-5 minutes until golden brown, flipping occasionally. Add more oil spray before first flip. | Add deli meat to the pan beside the bread until crisp. Then add mozzarella on top of one bread slice. Cover with lid for 30 seconds. | Add deli meat on top of the mozzarella, place the second bread slice on top, and flip the sandwich. Fry for another 30 seconds."
